"","URN","not_sustained_rate","urban_rural","denomination","FSM","White_British","region_name","school_name","headcount","susp_rate","KS2_history","Attainment_8","Progress_8","selective","POSTCODE","post16","school_sex","type","Ofsted_rating","sen_support","LSOA11","IMD"
"1799",137452,0.675675675675676,"(England/Wales) Urban city and town","No religious character","6.3","59.8","South West","Bournemouth School",1231,1.46223,113,"73.3",0.7,1,"BH8 9PY",1,"Boys","Academy converter","Outstanding",4.0650406504065,"E01015342",10
"1800",146386,4.54545454545455,"(England/Wales) Rural hamlet and isolated dwellings","No religious character","27.7","74.5","South West","Parkfield School",375,18.4,101.2,"32.9",-0.69,0,"BH23 6DF",1,"Mixed","Free schools","Requires improvement",13.3152173913043,"E01020365",7
"1801",136120,6.25,"(England/Wales) Urban city and town","Church of England","22.6","62.4","South West","The Bishop of Winchester Academy",1140,6.92982,104.1,"46.9",0.12,0,"BH8 9PW",1,"Mixed","Academy sponsor led","Good",15.5923344947735,"E01015339",4
"1802",136125,9.43396226415094,"(England/Wales) Urban city and town","No religious character","34.9","82.3","South West","The Bourne Academy",952,20.48319,102.8,"41.3",-0.22,0,"BH10 5HS",1,"Mixed","Academy sponsor led","Good",19.1854233654877,"E01015336",6
"1803",136996,1.12994350282486,"(England/Wales) Urban city and town","No religious character","4.6","61.3","South West","Bournemouth School for Girls",1209,0.74442,113.3,"71.7",0.53,1,"BH8 9UJ",1,"Girls","Academy converter","Outstanding",8.18858560794045,"E01015339",4
"1804",140008,5.45454545454545,"(England/Wales) Urban city and town","No religious character","21.8","76.5","South West","Glenmoor Academy",896,1.89732,105.7,"60.4",1.14,0,"BH10 4EX",0,"Girls","Academy sponsor led","Outstanding",11.2359550561798,"E01015358",5
"1805",136763,3.72093023255814,"(England/Wales) Urban city and town","No religious character","13.6","90.3","South West","Highcliffe School",1522,5.65046,106.5,"50.6",-0.06,0,"BH23 4QD",1,"Mixed","Academy converter","Good",9.6752816434725,"E01020369",9
"1806",141378,9.45945945945946,"(England/Wales) Urban city and town","No religious character","40.9","79.1","South West","The Grange School",432,24.07407,101.3,"44.8",0.27,0,"BH23 3AU",1,"Mixed","Academy sponsor led","Good",21.3004484304933,"E01020348",2
"1807",139037,9.45945945945946,"(England/Wales) Urban city and town","No religious character","41.9","69.3","South West","Oak Academy",598,20.73579,101.6,"35.6",-0.65,0,"BH11 9JJ",0,"Mixed","Academy converter","Requires improvement",19.6308724832215,"E01015312",1
"1808",136368,1.72413793103448,"(England/Wales) Urban city and town","No religious character","6.6","74.1","South West","Parkstone Grammar School",1220,0.2459,112,"67.8",0.43,1,"BH17 7EP",1,"Girls","Academy converter","Outstanding",12.684124386252,"E01015421",5
